#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
2380000,137274.13012695312,133624.75772401132,270898.88785096444,299.62367149492513
2400000,138158.86328125,133801.4874127563,271960.3506940063,300.0199483459058
