#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
2380000,137621.45703125,133240.83360359166,270862.29063484166,298.7628074118396
2400000,137463.3779296875,134374.85770604946,271838.23563573696,301.30560315515487
