#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
2380000,137864.28271484375,134355.16263670998,272219.44535155373,301.2614413614397
2400000,138754.17919921875,134169.70439643075,272923.8835956495,300.8455926833361
