#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
2380000,137456.61279296875,134058.97766040714,271515.5904533759,300.5973127107837
2400000,137742.59252929688,133894.62539904471,271637.2179283416,300.22878947596803
